InChIKey,SMILES,uniprot+pfam,ic_value,ic_str,sentence_len,log(ic),BEL-level
AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,P00533|PF07714,19.000000000000004,19.000000000000004,18,2.9444389791664407,4
DEGXXISEQDPSGH-SGIIKHNDSA-N,NCc1ccc(CNC(=O)[C@@H]2CC[C@H]3[C@@H](OCc4ccccc4)CCC(=O)N23)cc1.O=C(O)C(F)(F)F,P00734|PF00089,12589.249999999998,12589.249999999998,18,9.440598554175802,6
UGPBFNNIZFEJKE-UHFFFAOYSA-N,Cc1cc(O)ccc1-c1ccc(N(CC(F)(F)F)S(=O)(=O)c2cccc(Cl)c2)cc1,P51449|PF00104,519.9999999999999,519.9999999999999,17,6.253828811575472,5
ZJZVPGODNLHLEQ-HCPMNOJRSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H]2CCCCN2C1=O,P70536|PF00001,20.0,20.0,18,2.9957322735539917,4
UPNUIXSCZBYVBB-JVFUWBCBSA-N,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,P35372|PF00001,1.6999999999999995,1.6999999999999995,18,0.5306282510621702,3
UELFPGDAFKWDOW-UHFFFAOYSA-N,Cc1oc2c(c1C(=O)Oc1ccc(OCCCN3CCOCC3)cc1)C(=O)c1ncccc1C2=O,O95551|PF03372,51000.00000000002,51000.00000000002,18,10.839580911706461,6
SCRRRLBPWUHHER-HNNXBMFYSA-N,COCCOc1cnc2ccc([C@H](C)c3nnc4c(F)cc(-c5cc(C)no5)cn34)cc2c1,P08581|PF07714,4.999999999999999,4.999999999999999,17,1.6094379124341005,3
ALLVIFFNCLDETM-SECBINFHSA-N,Cc1c(C(=O)N(C)[C@@H]2CCNC2)ccc(Cl)c1Cl,P31645|PF00209,58.0,58.0,4,4.060443010546419,4
JHBYRHQSNOLZKK-UHFFFAOYSA-N,CN(C(=O)c1ccccc1)c1ccc2c(c1)nc(NC(=O)c1ccc(Cl)cc1)n2CCC(N)=O,Q08881|PF07714,5.999999999999999,5.999999999999999,17,1.791759469228055,3
LPYRYZSEMBYMFP-HFTWOUSFSA-N,CN1CCN(CCCOc2ccc(N3C(=O)/C(=C/c4ccc(Oc5ccc(C(N)=O)cc5)cc4)SC3=S)cc2)CC1,O88351|PF00069,2000.0,2000.0,6,7.600902459542082,5
MOECBBSMSUGFSL-UHFFFAOYSA-N,CCCCOc1cc2c(Nc3ccc(NC(=O)OCC)c(Cl)c3)ncnc2cc1OCCN(CC)CC.Cl,P35968|PF07714,4799.999999999999,4799.999999999999,17,8.476371196895983,6
RMDSLLJKAVJUJW-UDWIEESQSA-N,COc1ccc(/C=N/Nc2[nH]nc(C)c2C(=O)Nc2ccccc2)cc1,O14965|PF00069,804.0000000000001,804.0000000000001,17,6.689599269178967,5
OPRRDMNWSFSACR-UHFFFAOYSA-N,COc1cc(OC)cc(N(CCC(C)(C)O)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,P22607|PF07714,102.33,102.33,6,4.6282028850986645,4
IVTVGDXNLFLDRM-HNNXBMFYSA-N,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,P04818|PF00303,529.9999999999999,529.9999999999999,17,6.272877006546168,5
BGEPJWGHOXBDBT-UHFFFAOYSA-N,c1ccc(CC(NCC2CC23CCN(c2ccccc2)CC3)c2ccccc2)cc1,Q15858|PF00520,177.00000000000003,177.00000000000003,18,5.17614973257383,5
AMODCLLFUCTCGK-LBPRGKRZSA-N,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NC(C)(C)C#N,P25774|PF00112,114.0,114.0,18,4.736198448394496,4
WAEXFXRVDQXREF-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccccc1)NO,O15379|PF00850,37.0,37.0,4,3.6109179126442235,4
DLOSSOASAIISHQ-UHFFFAOYSA-N,CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Br)cc2)cc1,P14902|PF01231,129.99999999999997,129.99999999999997,18,4.867534450455582,4
CQUWKHKELQQYRI-KGENOOAVSA-N,C/C(=N\\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,P49146|PF00001,10000.0,10000.0,7,9.210340371976184,6
JCJWCXBSDFGDSJ-UHFFFAOYSA-N,CCOc1ccccc1CNc1nc(C)nc2[nH]cc(-c3ccnc(N)c3)c12,Q13627|PF00069,2.1,2.1,3,0.7419373447293773,3
BBOWOWMPAQTKRD-UHFFFAOYSA-N,NCCOCCOCCOc1cccc(-c2nc(N=C(N)N)nc3ccc(Cl)cc23)c1,P48764|PF00999,31.62,31.62,5,3.453789831781326,4
QEBYISWYMFIXOZ-INIZCTEOSA-N,O=C(O)c1ccc(C(=O)N[C@@H](c2ccc(OC(F)(F)F)c(F)c2)c2ncccc2F)nc1,Q9HBA0|PF00520,20000.0,20000.0,7,9.903487552536127,6
DEQLGSOHGTZKFB-UHFFFAOYSA-N,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(=O)O,P24557|PF00067,28.00000000000001,28.00000000000001,18,3.332204510175204,4
IEDSFKUOLQRVGX-UHFFFAOYSA-N,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccccc1C#N,P45984|PF00069,200000.0,200000.0,18,12.206072645530176,7
IDPLKFAYVYZHGL-UHFFFAOYSA-N,CC(=O)Nc1cc(C(=O)O)cc(-n2c(C)ccc2-c2cc(F)ccc2OCc2ccc(F)cc2)c1,P34995|PF00001,3.9809999999999977,3.9809999999999977,18,1.3815330440181797,3
SQHUBOCKWBVIDO-OFSOJUDTSA-N,Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3cccc(C(F)(F)F)c3)c3ccccc32)n1,P24530|PF00001,15.599999999999996,15.599999999999996,18,2.7472709142554907,4
RSIVRPBUNKODPD-UHFFFAOYSA-N,CC(C)CC(NC(c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N,P25774|PF00112,901.9999999999997,901.9999999999997,17,6.804614520062622,5
MCAREVOFGOBUKC-OKILXGFUSA-N,Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@H]1C[C@@H](N(C)C)C1,P11309|PF00069,2.0,2.0,3,0.6931471805599453,3
DTWYFFWJAKQNDI-UHFFFAOYSA-N,NC(=O)c1nn(-c2ccc(F)cc2)c2c1CCc1ccc(NC(=O)c3cc(N4CCOCC4)ncc3Cl)cc1-2,O14920|PF00069,146.0,146.0,5,4.983606621708336,4
NZGUVFWYJBVNHC-UHFFFAOYSA-N,COc1cc(OC)cc(N(CCCN2CCOCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl,P21802|PF07714,2.138,2.138,5,0.7598708126028534,3
ZDACFCFMMWTLTA-STBZDDNXSA-N,CNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\\[C@@H](C)[C@H](C)OC2=O,Q02750|PF00069,70.00000000000003,70.00000000000003,17,4.248495242049359,4
PZPOCZWOYXDPDG-SFHVURJKSA-N,CC1(C)SCCCN(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)[C@H]1C(=O)NO,P09237|PF00413,16.0,16.0,4,2.772588722239781,4
UZFYJBNAWVIPQP-UHFFFAOYSA-N,COc1cc(C(=O)N2CC(C)(C)OCC2CO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,P00734|PF00089,1.6999999999999995,1.6999999999999995,18,0.5306282510621702,3
UMVCNODYSQKDEI-QFIPXVFZSA-N,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(F)c4)nc32)C1,P00533|PF07714,1299.9999999999995,1299.9999999999995,18,7.170119543449628,5
DJSFOQSWZKQSAD-UHFFFAOYSA-N,Cn1cnc(-c2ccnc(Nc3cc(Cl)c4[nH]c(C(=O)O)cc4c3)n2)c1,P43405|PF07714,8.300000000000002,8.300000000000002,17,2.1162555148025524,4
PYHXNLHUWZDWGI-CILPGNKCSA-N,CCCCN1CC(=O)N2C(c3ccc(C)cc3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,Q28156|PF00233,25.99999999999999,25.99999999999999,17,3.2580965380214817,4
CELFNLGAHYGWTE-UHFFFAOYSA-N,CCOC(=O)c1c[nH]c2ncnc(-c3cccc(OCC(F)(F)F)c3)c12,P52333|PF07714,3.5000000000000013,3.5000000000000013,17,1.2527629684953685,3
SAZMPEZPJXSHPU-JMIUGGIZSA-N,CCOC(=O)/C(O)=C/C(=O)c1cccc(Cn2cc(C(=O)O)c(=O)c3cc(I)ccc32)c1,P17706|PF00102,6.3000000000000025,6.3000000000000025,17,1.840549633397488,3
KQKPFRSPSRPDEB-UHFFFAOYSA-N,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,P08908|PF00001,398.10999999999984,398.10999999999984,17,5.986728349007541,5
ZRSHDFLAAXMUPG-SEYFSXTGSA-N,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)Cn1cc(-c2ccc(C(=O)O)cc2)nn1,Q9UQ49|PF13088,610.0,610.0,5,6.413458957167357,5
MJWGUVJZHMSZLC-UHFFFAOYSA-N,C#Cc1ccc(SCc2ccc(C3(CC)Oc4ccccc4-n4cccc4C3=O)cc2)cc1,P55263|PF00294,14999.999999999995,14999.999999999995,18,9.615805480084347,6
YMYBMVGXHHLDLG-VXKWHMMOSA-N,COC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(NS(=O)(=O)O)cc1)c1csc(CS(=O)(=O)C(C)(C)C)n1,P23467|PF00102,2.0,2.0,3,0.6931471805599453,3
NMCGNEVSULAXLO-UHFFFAOYSA-N,CC(=O)c1ccc2[nH]c3nccc(Nc4cccc(O)c4)c3c2c1,P04626|PF07714,12.999999999999995,12.999999999999995,18,2.5649493574615363,4
VRSJAHQGJHDACS-UHFFFAOYSA-N,Cc1cccc(N2CCN(C(=O)c3cc(S(=O)(=O)N(C)C)ccc3N3CCCC3)CC2)c1C,P34972|PF00001,15100.000000000007,15100.000000000007,18,9.622450022803015,6
QMKZXESKCHTWDO-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)CC(C)C)cc2)cc1,P41145|PF00001,4330.000000000001,4330.000000000001,17,8.373322820996536,6
OWGUKRPUVVBJPH-KRWDZBQOSA-N,C[C@](O)(c1cncc(-c2nc3ccc(F)cn3c2C2CC2)c1)C(F)(F)F,P08684|PF00067,25000.0,25000.0,18,10.126631103850338,6
NCYXZCBTHWJATE-UHFFFAOYSA-N,Cc1cc(-c2cncnc2N2CCC(c3[nH]cnc3C)CC2)ccc1F,P19634|PF00999,21.000000000000004,21.000000000000004,18,3.0445224377234235,4
CHNWMSQQHAFKHI-FSRHSHDFSA-N,COc1cc(OC)cc(N(CCN2CCC[C@H]2C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl,P36888|PF07714,10000.0,10000.0,7,9.210340371976184,6
KKDALAZYEILFRD-UHFFFAOYSA-N,CC(C)NC(=O)N(C1CCCCCCC1)C1CCN(CCCOc2ccc(F)cc2)CC1,P28223|PF00001,79.43000000000002,79.43000000000002,17,4.374876130645041,4
OIUTUDZPVAEFTJ-UHFFFAOYSA-N,COc1cc(-c2nc3ccccc3c(=O)[nH]2)ccc1O,P04798|PF00067,4000.0,4000.0,6,8.294049640102028,6
IAHOCGNSUWTMLZ-UHFFFAOYSA-N,CN1CCC(c2ccc(-c3cc4ncn(C)c(=O)c4c(NCCCO)n3)cc2F)CC1,P43405|PF07714,428.00000000000017,428.00000000000017,18,6.0591231955817975,5
PUHRPYOPXGWCTE-UHFFFAOYSA-N,CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1,P10635|PF00067,40000.0,40000.0,7,10.596634733096073,6
HRSNMDNJDZVCKQ-UHFFFAOYSA-N,Cc1nn(-c2ccccc2)c(S)c1C=Nc1cccc([N+](=O)[O-])c1,P34949|PF01238,31100.00000000001,31100.00000000001,18,10.344963098167328,6
ZFMRDRXPXZUHDB-UHFFFAOYSA-N,CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,Q12809|PF00520,6494.999999999997,6494.999999999997,17,8.7787879291047,6
CZZAPGYQDMJOEO-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)CC1,P31749|PF00069,20.0,20.0,18,2.9957322735539917,4
WJQSBUBHFPBEBS-UHFFFAOYSA-N,CCCCN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,P10275|PF00104,10000.0,10000.0,7,9.210340371976184,6
SIWSKGDPYXKTDC-GUMLQISDSA-N,COC(=O)c1ccc2c(c1)C(=N\\O)/C(=C1/C(=O)Nc3c(Br)cccc31)N2,Q92630|PF00069,10000.0,10000.0,7,9.210340371976184,6
AHFWIQIYAXSLBA-RQXATKFSSA-N,OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O,P31639|PF00474,7.399999999999999,7.399999999999999,17,2.001480000210124,4
RNKDRJPQOULABN-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccc(NC(=O)CCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1)NO,Q9UBN7|PF00850,550.0,550.0,5,6.309918278226516,5
YMMDYYYQPNEQIT-UHFFFAOYSA-N,COc1cc(N2CCN(C3CCN(c4cccc5cc(C(F)(F)F)cnc45)CC3)CC2)c2ncccc2c1,P08908|PF00001,30.0,30.0,4,3.4011973816621555,4
XCPMCGVNBGDZDW-SNVBAGLBSA-N,C[C@H](c1ccc2c(c1O)OCO2)c1nccc2cc3c(cc12)OCO3,P22303|PF00135,100000.0,100000.0,17,11.512925464970227,7
BLMPQMFVWMYDKT-NZTKNTHTSA-N,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,Q12809|PF00520,92099.99999999996,92099.99999999996,17,11.4306302222434,7
ZICGUURZNAJJKQ-HDICACEKSA-N,CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)cc3)CC2)nc2ccccc12,P08913|PF00001,149.99999999999997,149.99999999999997,18,5.0106352940962555,5
NWCLUPOGVWVFRT-OLILMLBXSA-N,Cc1cc(O)cc(C)c1C[C@@H](C)CN1Cc2ccccc2C[C@H]1C(=O)NCC(=O)NCc1nc2ccccc2[nH]1,P32300|PF00001,0.12999999999999998,0.12999999999999998,19,-2.0402208285265546,2
YSKBVHYEQHNEAB-ZZEHVWSGSA-N,CCCCCC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,Q99519|PF13088,420.0,420.0,5,6.040254711277415,5
KRMLZRDHQHQPJW-BQYQJAHWSA-N,Cc1ncc(C#N)c(Nc2ccc3[nH]ccc3c2C)c1/C=C/c1cccc(S(=O)(=O)N2CCN(C)CC2)c1,P06241|PF07714,49999.99999999999,49999.99999999999,17,10.819778284410283,6
KOVLLCNIJRZXSU-UHFFFAOYSA-N,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)NCC,P00533|PF07714,8.0,8.0,3,2.0794415416798357,4
MDCAQMGGTDADIS-UHFFFAOYSA-N,O=C(Oc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1)c1ccccc1,Q16539|PF00069,317.0,317.0,5,5.7589017738772785,5
KPQLWJWAGXJIST-GTJPDFRWSA-N,COC(=O)[C@](F)([C@@H]1CCc2c([nH]c3ccc(Cl)cc23)C1)S(=O)(=O)c1cccc(Cl)c1,P55055|PF00104,31.00000000000001,31.00000000000001,18,3.4339872044851467,4
LOUPRKONTZGTKE-WZBLMQSHSA-N,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,O95342|PF00664,98830.0,98830.0,7,11.501156481370227,7
ALFVRYXSTFHIKR-UHFFFAOYSA-N,CC1(c2ccccc2)CCCN(C(=O)NCCCc2cccnc2)C1,P07099|PF00561,2999.9999999999995,2999.9999999999995,18,8.006367567650246,6
CTVPMDSEKDRELN-DNQXCXABSA-N,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)cc1,P07607|PF00303,2.0,2.0,3,0.6931471805599453,3
ZTGXBIBUKIFSTB-ITYLOYPMSA-N,CNC(=O)/C(CCCCCCC(=O)Nc1cccc(-c2ccc(Cl)nc2)c1)=N\\O,P56524|PF00850,58900.0,58900.0,7,10.983596369639676,6
POTDGSBFZPVEBO-UHFFFAOYSA-N,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1ncc(C(F)(F)F)c(Sc2ccccc2)n1,Q05397|PF07714,70.00000000000003,70.00000000000003,17,4.248495242049359,4
FYNPNAQICGVBPO-UHFFFAOYSA-N,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCN2CCN(Cc3ccccc3)CC2)cc1,P06795|PF00664,2100.0000000000005,2100.0000000000005,18,7.6496926237115135,5
ZGJPDTZDJUSHFQ-UHFFFAOYSA-N,Cn1ccc2ncnc(Oc3ccc(CC(=O)Nc4ccccc4)cc3)c21,P35968|PF07714,3299.9999999999986,3299.9999999999986,17,8.101677747454572,6
NGCFKFBXSAWULW-DZZYDSNESA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]cn1)NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,P21451|PF00001,10000.0,10000.0,7,9.210340371976184,6
XUPURJISFWXKAO-SNVBAGLBSA-N,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)[nH]c(N(C)C(C)(C)C)nc34)[nH]c21,Q9P1W9|PF00069,0.4,0.4,19,-0.916290731874155,3
AIZHFCJMCXBSRJ-UHFFFAOYSA-N,CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OCC23CC4CC(C2)C(F)(F)C(C4)C3)cc1F,Q15858|PF00520,221.0,221.0,18,5.3981627015177525,5
DYTVFQRNXUXFAA-UHFFFAOYSA-N,Cn1cnc2c(C#N)nc(-c3ccc(OCCN4CCCC4=O)c(C(F)(F)F)c3)cc21,P25774|PF00112,1419.9999999999998,1419.9999999999998,18,7.258412150595306,5
VPBIUZFMQNNLBC-FABQOPTDSA-N,O=C(N/N=C/c1ccc(OCC(=O)N2CCC(O)(c3ccc(Br)cc3)CC2)c2ccccc12)c1ccc(O)c(Cl)c1,P47871|PF00002,11.400000000000002,11.400000000000002,18,2.4336133554004498,4
YIWALYDBQDXAKF-UHFFFAOYSA-N,O=C1CN(C2CCCC2)C(=O)c2cccc(Cl)c2S1,P12822|PF01401,280.00000000000006,280.00000000000006,17,5.63478960316925,5
QNBLPUFFJOANGD-JTQLQIEISA-N,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2C)n[nH]1,P52333|PF07714,8350.000000000002,8350.000000000002,17,9.0300168178449,6
ZRZRIQACDKFLPN-UHFFFAOYSA-N,CCN(C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cnc(C)cn1,O43614|PF00001,3.0,3.0,18,1.0986122886681098,3
JMZCGEQGWSMJPT-WMZHIEFXSA-N,[C-]#[N+]C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C(=O)N2CC[C@H](O)C2)[C@@H]1c1ccc(C#N)cc1S(C)(=O)=O,P08246|PF00089,0.29999999999999993,0.29999999999999993,19,-1.203972804325936,2
UQKUYECLNCZEAK-YSQWDHOWSA-N,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](C)N2CC[C@H](C(C)C)C2=O)c1,P56817|PF00026,240.0,240.0,5,5.48063892334199,5
UDVJBRYBBSVDDS-UHFFFAOYSA-N,CN1CCN(Cc2ccc(NC(=O)c3n[nH]cc3Nc3ncnc4sccc34)cc2)CC1,Q9UM73|PF07714,94.09999999999997,94.09999999999997,17,4.544358046591333,4
UTNPHCAOJSTUCO-UHFFFAOYSA-N,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)ccc2n1CC(O)CO,P12931|PF07714,2500.0,2500.0,6,7.824046010856294,5
KNRPIJRYYAZCNW-UHFFFAOYSA-N,O=c1c2cc(O)ccc2oc2c1oc1cc(O)ccc12,P03372|PF00104,1499.9999999999998,1499.9999999999998,18,7.3132203870903005,5
YKKGANFNJXSMSN-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,P19327|PF00001,0.19000000000000009,0.19000000000000009,19,-1.6607312068216509,2
